line_ref,route_name,scheduled_headway_sec,n_departures
1,Route 1,339.3559300925734,755
10,Route 10,1508.108108108108,65
100,Route 100,767.0337837837837,315
104,Route 104,1663.7624466571835,195
109,Route 109,1659.7202797202797,112
11,Route 11,1591.6666666666667,62
111,Route 111,407.7663189968358,330
125,Route 125,478.5245901639344,371
127,Route 127,1982.7272727272727,69
18,Route 18,3600.0,9
1A,Route 1A,618.8829238075573,425
2,Route 2,538.8540275923453,476
22,Route 22,7233.75,36
22A,Route 22A,7242.857142857143,32
280,Route 280,1068.5761047463177,119
29,Route 29,3561.428571428572,56
29A,Route 29A,3705.333333333333,42
2A,Route 2A,1836.8649193548383,87
2X,Route 2X,1189.06015037594,125
3,Route 3,583.448275862069,697
30,Route 30,843.7041156840935,306
300,Route 300,1284.1254355400697,207
32,Route 32,2473.846153846154,44
3A,Route 3A,1953.9130434782608,96
4,Route 4,1286.3226744186045,172
40,Route 40,2640.192307692308,76
400,Route 400,6955.0,42
41,Route 41,1960.1779755283649,123
41A,Route 41A,3275.0,24
42,Route 42,1605.568181818182,130
42A,Route 42A,3240.0,18
43,Route 43,4028.571428571429,16
43A,Route 43A,3200.0,24
44,Route 44,1688.1818181818182,44
45,Route 45,3163.6363636363635,21
46,Route 46,3675.0,18
49,Route 49,2280.6015037593984,81
5,Route 5,1460.9514170040484,156
50,Route 50,1520.357142857143,102
505,Route 505,4350.0,68
508,Route 508,3798.461538461538,74
509,Route 509,5200.0,41
51,Route 51,1465.7142857142858,128
516,Route 516,3740.0,90
517,Route 517,6300.0,20
52,Route 52,1331.1159546643416,115
530,Route 530,8730.0,8
534,Route 534,11475.0,12
55,Route 55,2151.711079943899,91
553,Route 553,8450.0,16
554,Route 554,2564.3823529411766,78
555,Route 555,1033.3735979292494,276
559,Route 559,900.0,3
563,Route 563,3995.4545454545455,38
567,Route 567,4080.0,22
59,Route 59,618.4342145554762,237
599,Route 599,1124.5454545454545,204
6,Route 6,1599.1538461538462,122
60,Route 60,7950.0,16
600,Route 600,2518.9655172413795,166
61,Route 61,488.27472527472526,709
62,Route 62,902.7150537634408,274
63,Route 63,1105.8259423503323,234
63A,Route 63A,2559.56043956044,62
64,Route 64,3492.5,52
67,Route 67,603.4983766233767,479
68,Route 68,912.0,214
685,Route 685,1173.799734748011,266
6A,Route 6A,956.4651493598864,247
6B,Route 6B,4050.0,18
6C,Route 6C,3600.0,20
7,Route 7,5023.928571428572,82
71,Route 71,7560.0,34
721,Route 721,60.0,4
755,Route 755,1980.9272727272728,68
77,Route 77,5750.0,21
77A,Route 77A,6100.0,20
77C,Route 77C,6112.5,20
78,Route 78,2266.6666666666665,114
81,Route 81,3600.0,14
88,Route 88,3136.363636363636,39
89,Route 89,4170.0,31
9,Route 9,870.4225352112676,78
93,Route 93,9945.0,28
99,Route 99,450.0,4
EL1,Route EL1,1607.5471698113208,54
M1,Route M1,2481.0,44
P1,Route P1,573.9073950699533,280
S11,Route S11,900.0,4
S15,Route S15,900.0,4
S22,Route S22,900.0,4
S32,Route S32,900.0,2
S90,Route S90,900.0,4
S91,Route S91,900.0,4
S92,Route S92,900.0,4
S93,Route S93,900.0,4
S96,Route S96,900.0,4
UB1,Route UB1,7297.5,30
UB2,Route UB2,9195.0,18
X2,Route X2,470.2272727272728,288
X4,Route X4,1950.6521739130435,138
X5,Route X5,1545.8711433756805,264
X5S,Route X5S,900.0,4
X6,Route X6,1893.3471933471933,138
X7,Route X7,5494.285714285714,32
X8,Route X8,2900.0,8
